,BL_Expected_Return
SPVI.BK,0.0016969649583666777
HYDRO.BK,0.0011922387798559866
BOL.BK,0.00031128569854771166
YUASA.BK,0.0002641933116937263
AUCT.BK,0.0004871286406263989
CHO.BK,0.00021515659272223605
PHOL.BK,0.0001548528098663118
ECF.BK,0.00013362612559248837
NEWS.BK,0.00587380068131608
PICO.BK,7.410806099674095e-05
ARROW.BK,0.0001181825325655541
TMILL.BK,4.433678055300315e-05
TAPAC.BK,0.0003151367814634808
UBIS.BK,1.2368024292641413e-05
PSG.BK,0.0017843273390287905
NPK.BK,0.00022040325375392037
FPI.BK,2.7636202576573613e-05
PPM.BK,0.000292272845378851
KGEN.BK,-0.0008848467589015949
CMO.BK,-0.0005169619984858486
