,Expected_Return
CHO.BK,0.03668944038887153
MORE.BK,0.004948926692881194
TMW.BK,0.0024166269562187447
UREKA.BK,0.0022190601759938503
TRT.BK,0.001921990206851506
KGEN.BK,0.0017618474546908004
ECF.BK,0.0013865363369885643
EFORL.BK,0.0010872522322106083
BSM.BK,0.0009858213692640891
PHOL.BK,0.0009182441601336922
DV8.BK,0.0007160249948353578
CHOW.BK,0.0005494053196640409
MOONG.BK,0.0003783007786469722
DIMET.BK,0.00017401597686806273
JUBILE.BK,0.00010463064092589017
WINNER.BK,-5.823633807093995e-05
SANKO.BK,-0.00010518046273582423
NPK.BK,-0.0001303126544149433
TNDT.BK,-0.0001785144997537386
CPR.BK,-0.0002362284641110003
